"name","review","grade"
"옥토버훼스트",3,4.5
"밥짓는집",2,5
"나주곰탕",3,4.5
"배나무골",3,4.5
"티라운드",4,4.5
"수불삼성",2,5
"알로하테이블",25,3.5
"잠바주스",4,4
"깐부치킨",4,4
"공차",2,5
"종로빈대떡",2,5
"스토리오브와인",3,4.5
"바이트투헤븐",3,4.5
"삐아프 아티산 쇼콜라티에",2,5
"화동플레이스",2,5
"한남북엇국 - 청담점",3,4.5
"삼백집",5,4
"토담골",3,4.5
"신의주찹쌀순대",4,4
"H450",2,5
"무너섬",3,4.5
"데블스도어 코엑스몰점",10,3.5
"오양절면",2,5
"핑크솔740",3,4.5
"삼다연",4,4.5
"더블린테라스",2,5
"아리스타",3,4.5
"스시효",2,4.5
"빌라드스파이시",4,4
"마조앤새디",3,4.5
"에이미초코",3,4.5
"퀴즈노스",7,3.5
"사리원",4,4.5
"낙지골",4,4.5
"심슨탕",4,4.5
"돈정돈까스",3,4.5
"쉐플로",3,4.5
"버거킹",4,4
"가양양꼬치",2,5
"블루밍가든",5,4
"신미식당",2,5
"미스터시래기",2,5
"그릴밥상",4,4
"한우리한정식",2,5
"복다다미",2,5
"옐로우스푼",3,4.5
"오징어풍경",3,4.5
"제이엘푸드부산아지매국밥차병원사거리점",3,4.5
"솥뚜껑삼겹살집",2,5
"잔치",2,5
"교촌치킨",2,5
"오또상스시",2,4.5
"만나분식",5,4
"캐빈",4,4.5
"마포만두",3,4.5
"본죽",2,4.5
"서울고로케",2,4.5
"서브웨이",2,4.5
"우돈생고기",2,4.5
"씨블루",2,4.5
"화이트바",2,5
"별곱창이야기",2,4.5
"벌교한상",4,4
"독도참치",3,4.5
"날으는돈까스",3,4
"심퍼티쿠시 라스트피스 - 역삼점",2,4.5
"라이라이",3,4
"아웃백스테이크하우스 도곡점",2,4.5
"뚜또베네",2,5
"장수양곱창",2,4.5
"청담이상",2,4.5
"베이커스필드",3,4.5
"베이커스필드",3,4.5
"수서동샤브샤브",3,4.5
"오징어청춘 선릉직영점",4,4
"포호아",2,4.5
"조선면옥",3,4
"가로비",1,5
"써스티몽크",4,4
"하남돼지집 - 양재역점",2,4.5
"생어거스틴",6,3.5
"돼지연구소",4,4
"뚜레쥬르",4,4
